"Acupoint","WHO Location","Identified Locations","Identified Locations URI","Relation","Reference","","","","","","","","","","","","",""
"LU 1","On the anterior thoracic region, at the same level as the first intercostal space, lateral to the infraclavicular fossa, 6 B-cun lateral to the anterior median line.
Note 1: After locating LU2, LU1 is located 1 B-cun inferior to LU2.
Note 2: ST14, KI26, CV20 and LU1 are located on the transverse line along the first intercostal space.","ANTERIOR THORACIC REGION","http://purl.obolibrary.org/obo/UBERON_0016416","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 26","","","","","","","","","","","","",""
"LU 1","","FIRST INTERCOSTAL SPACE","http://uri.interlex.org/base/ilx_0795283","TARA:locatedInRelationTo","","","","","","","","","","","","","",""
"LU 1","","INFRACLAVICULAR FOSSA","http://uri.interlex.org/base/ilx_0795284","TARA:locatedInRelationTo","","","","","","","","","","","","","",""
"LU 1","","ANTERIOR MEDIAN LINE","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","","","","","","","","","","","","","",""
"LU 2","On the anterior thoracic region, in the depression of the infraclavicular fossa, medial to the coracoid process of the scapula, 6 B-cun lateral to the anterior median line.
Note 1: After identifying the deltopectoral triangle when the arm is flexed and slightly abducted against resistance, LU2 is in the centre of the deltopectoral triangle.
Note 2: ST13, KI27, CV21 and LU2 are located on the transverse line along the inferior border of the clavicle.","ANTERIOR THORACIC REGION","http://purl.obolibrary.org/obo/UBERON_0016416","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 26","","","","","","","","","","","","",""
"LU 2","","INFRACLAVICULAR FOSSA","http://uri.interlex.org/base/ilx_0795284","TARA:locatedInRelationTo","","","","","","","","","","","","","",""
"LU 2","","CORACOID PROCESS OF THE SCAPULA","http://purl.obolibrary.org/obo/UBERON_0006633","TARA:locatedInRelationTo","","","","","","","","","","","","","",""
"LU 2","","ANTERIOR MEDIAN LINE","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","","","","","","","","","","","","","",""
"LU 2","","CLAVIPECTORAL TRIANGLE","http://uri.interlex.org/base/ilx_0795286","TARA:locatedInRelationTo","","","","","","","","","","","","","",""
"LU 3","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 3 B-cun inferior to the anterior axillary fold. Note: Longitudinally, LU3 is located at the same level as the junction of the upper one third and lower two thirds of the line connecting the level with anterior axillary fold to LU5.","ARM","http://purl.obolibrary.org/obo/UBERON_0001460","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 27","","","","","","","","","","","","",""
